chapter_name,source,text
What is Linear Regression Algorithm?,ML_notes_csv,"Linear regression is one of the easiest and most popular Machine Learning algorithms. It is a statistical method that is used for predictive analysis. Linear regression makes predictions for continuous/real or numeric variables such assales, salary, age, product price,etc. Linear regression algorithm shows a linear relationship between a dependent (y) and one or more independent (y) variables, hence called as linear regression. Since linear regression shows the linear relationship, which means it finds how the value of the dependent variable is changing according to the value of the independent variable. The linear regression model provides a sloped straight line representing the relationship between the variables. Consider the below image: Mathematically, we can represent a linear regression as: Here, Y= Dependent Variable (Target Variable)X= Independent Variable (predictor Variable)a0= intercept of the line (Gives an additional degree of freedom)a1 = Linear regression coefficient (scale factor to each input value). = random error The values for x and y variables are training datasets for Linear Regression model representation."
How do you interpret a linear regression model?,ML_notes_csv,"Linear regression is one of the easiest and most popular Machine Learning algorithms. It is a statistical method that is used for predictive analysis. Linear regression makes predictions for continuous/real or numeric variables such assales, salary, age, product price,etc. Linear regression algorithm shows a linear relationship between a dependent (y) and one or more independent (y) variables, hence called as linear regression. Since linear regression shows the linear relationship, which means it finds how the value of the dependent variable is changing according to the value of the independent variable. The linear regression model provides a sloped straight line representing the relationship between the variables. Consider the below image: Mathematically, we can represent a linear regression as: Here, Y= Dependent Variable (Target Variable)X= Independent Variable (predictor Variable)a0= intercept of the line (Gives an additional degree of freedom)a1 = Linear regression coefficient (scale factor to each input value). = random error The values for x and y variables are training datasets for Linear Regression model representation."
What are the basic assumptions of the Linear Regression Algorithm?,ML_notes_csv,"Linear regression is one of the easiest and most popular Machine Learning algorithms. It is a statistical method that is used for predictive analysis. Linear regression makes predictions for continuous/real or numeric variables such assales, salary, age, product price,etc. Linear regression algorithm shows a linear relationship between a dependent (y) and one or more independent (y) variables, hence called as linear regression. Since linear regression shows the linear relationship, which means it finds how the value of the dependent variable is changing according to the value of the independent variable. The linear regression model provides a sloped straight line representing the relationship between the variables. Consider the below image: Mathematically, we can represent a linear regression as: Here, Y= Dependent Variable (Target Variable)X= Independent Variable (predictor Variable)a0= intercept of the line (Gives an additional degree of freedom)a1 = Linear regression coefficient (scale factor to each input value). = random error The values for x and y variables are training datasets for Linear Regression model representation."
What are the assumptions about the form of the model?,ML_notes_csv,There are three stages to build hypotheses or model in machine learning: Model buildingIt chooses a suitable algorithm for the model and trains it according to the requirement of the problem.Applying the modelIt is responsible for checking the accuracy of the model through the test data.Model testingIt performs the required changes after testing and apply the final model.
What are the Assumptions about the residuals?,ML_notes_csv,"Below are some important assumptions of Linear Regression. These are some formal checks while building a Linear Regression model, which ensures to get the best possible result from the given dataset. Linear relationship between the features and target:Linear regression assumes the linear relationship between the dependent and independent variables.Small or no multicollinearity between the features:Multicollinearity means high-correlation between the independent variables. Due to multicollinearity, it may difficult to find the true relationship between the predictors and target variables. Or we can say, it is difficult to determine which predictor variable is affecting the target variable and which is not. So, the model assumes either little or no multicollinearity between the features or independent variables.Homoscedasticity Assumption:Homoscedasticity is a situation when the error term is the same for all the values of independent variables. With homoscedasticity, there should be no clear pattern distribution of data in the scatter plot.Normal distribution of error terms:Linear regression assumes that the error term should follow the normal distribution pattern. If error terms are not normally distributed, then confidence intervals will become either too wide or too narrow, which may cause difficulties in finding coefficients.It can be checked using theq-q plot. If the plot shows a straight line without any deviation, which means the error is normally distributed.No autocorrelations:The linear regression model assumes no autocorrelation in error terms. If there will be any correlation in the error term, then it will drastically reduce the accuracy of the model. Autocorrelation usually occurs if there is a dependency between residual errors."
What are the assumptions about the estimators?,ML_notes_csv,"Below are some important assumptions of Linear Regression. These are some formal checks while building a Linear Regression model, which ensures to get the best possible result from the given dataset. Linear relationship between the features and target:Linear regression assumes the linear relationship between the dependent and independent variables.Small or no multicollinearity between the features:Multicollinearity means high-correlation between the independent variables. Due to multicollinearity, it may difficult to find the true relationship between the predictors and target variables. Or we can say, it is difficult to determine which predictor variable is affecting the target variable and which is not. So, the model assumes either little or no multicollinearity between the features or independent variables.Homoscedasticity Assumption:Homoscedasticity is a situation when the error term is the same for all the values of independent variables. With homoscedasticity, there should be no clear pattern distribution of data in the scatter plot.Normal distribution of error terms:Linear regression assumes that the error term should follow the normal distribution pattern. If error terms are not normally distributed, then confidence intervals will become either too wide or too narrow, which may cause difficulties in finding coefficients.It can be checked using theq-q plot. If the plot shows a straight line without any deviation, which means the error is normally distributed.No autocorrelations:The linear regression model assumes no autocorrelation in error terms. If there will be any correlation in the error term, then it will drastically reduce the accuracy of the model. Autocorrelation usually occurs if there is a dependency between residual errors."
Explain the difference between Correlation and Regression.,ML_notes_csv,"Regression is a process of finding the correlations between dependent and independent variables. It helps in predicting the continuous variables such as prediction ofMarket Trends, prediction of House prices, etc. The task of the Regression algorithm is to find the mapping function to map the input variable(x) to the continuous output variable(y). Example:Suppose we want to do weather forecasting, so for this, we will use the Regression algorithm. In weather prediction, the model is trained on the past data, and once the training is completed, it can easily predict the weather for future days. Types of Regression Algorithm: Simple Linear RegressionMultiple Linear RegressionPolynomial RegressionSupport Vector RegressionDecision Tree RegressionRandom Forest Regression"
Explain the Gradient Descent algorithm with respect to linear regression.,ML_notes_csv,Gradient descent is used to minimize the MSE by calculating the gradient of the cost function.A regression model uses gradient descent to update the coefficients of the line by reducing the cost function.It is done by a random selection of values of coefficient and then iteratively update the values to reach the minimum cost function.
Justify the cases where the linear regression algorithm is suitable for a given dataset.,ML_notes_csv,"Linear regression is a statistical regression method which is used for predictive analysis.It is one of the very simple and easy algorithms which works on regression and shows the relationship between the continuous variables.It is used for solving the regression problem in machine learning.Linear regression shows the linear relationship between the independent variable (X-axis) and the dependent variable (Y-axis), hence called linear regression.If there is only one input variable (x), then such linear regression is calledsimple linear regression. And if there is more than one input variable, then such linear regression is calledmultiple linear regression.The relationship between variables in the linear regression model can be explained using the below image. Here we are predicting the salary of an employee on the basis ofthe year of experience. Below is the mathematical equation for Linear regression: Here, Y = dependent variables (target variables),X= Independent variables (predictor variables),a and b are the linear coefficients Some popular applications of linear regression are: Analyzing trends and sales estimatesSalary forecastingReal estate predictionArriving at ETAs in traffic."
List down some of the metrics used to evaluate a Regression Model.,ML_notes_csv,"Once you have trained your model, it's time to assess its performance. There are various metrics used to evaluate model performance, categorized based on the type of task: regression/numerical or classification."
"For a linear regression model, how do we interpret a Q-Q plot?",ML_notes_csv,"The Simple Linear Regression model can be represented using the below equation: Where, a0= It is the intercept of the Regression line (can be obtained putting x=0)a1= It is the slope of the regression line, which tells whether the line is increasing or decreasing. = The error term. (For a good model it will be negligible)"
"In linear regression, what is the value of the sum of the residuals for a given dataset? Explain with proper justification.",ML_notes_csv,"The different values for weights or coefficient of lines (a0, a1) gives the different line of regression, and the cost function is used to estimate the values of the coefficient for the best fit line.Cost function optimizes the regression coefficients or weights. It measures how a linear regression model is performing.We can use the cost function to find the accuracy of themapping function, which maps the input variable to the output variable. This mapping function is also known asHypothesis function. For Linear Regression, we use theMean Squared Error (MSE)cost function, which is the average of squared error occurred between the predicted values and actual values. It can be written as: For the above linear equation, MSE can be calculated as: Where, N=Total number of observationYi = Actual value(a1xi+a0)= Predicted value. Residuals:The distance between the actual value and predicted values is called residual. If the observed points are far from the regression line, then the residual will be high, and so cost function will high. If the scatter points are close to the regression line, then the residual will be small and hence the cost function."
What are RMSE and MSE? How to calculate it?,ML_notes_csv,RMSE is a popular method and is the extended version of MSE(Mean Squared Error). This method is basically used to evaluate the performance of our model. It indicates how much the data points are spread around the best line. It is the standard deviation of the Mean squared error. A lower value means that the data point lies closer to the best fit line. Output:
